mal_id,name,count
1,Action,4718
2,Adventure,4471
5,Avant Garde,1078
46,Award Winning,247
28,Boys Love,195
4,Comedy,7823
8,Drama,3112
10,Fantasy,6104
26,Girls Love,122
47,Gourmet,238
14,Horror,588
7,Mystery,1004
22,Romance,2211
24,Sci-Fi,3510
36,Slice of Life,1601
30,Sports,823
37,Supernatural,1586
41,Suspense,458
9,Ecchi,820
49,Erotica,82
12,Hentai,1599
50,Adult Cast,742
51,Anthropomorphic,1283
52,CGDCT,260
53,Childcare,77
54,Combat Sports,96
81,Crossdressing,61
55,Delinquents,78
39,Detective,314
56,Educational,336
57,Gag Humor,303
58,Gore,270
35,Harem,490
59,High Stakes Game,57
13,Historical,1739
60,Idols (Female),382
61,Idols (Male),174
62,Isekai,462
63,Iyashikei,186
64,Love Polygon,111
65,Magical Sex Shift,33
66,Mahou Shoujo,362
17,Martial Arts,740
18,Mecha,1350
67,Medical,58
38,Military,741
19,Music,5209
6,Mythology,636
68,Organized Crime,110
69,Otaku Culture,109
20,Parody,808
70,Performing Arts,153
71,Pets,144
40,Psychological,454
3,Racing,227
72,Reincarnation,162
73,Reverse Harem,79
74,Love Status Quo,46
21,Samurai,252
23,School,2245
75,Showbiz,51
29,Space,676
11,Strategy Game,341
31,Super Power,734
76,Survival,78
77,Team Sports,327
78,Time Travel,167
32,Vampire,179
79,Video Game,176
80,Visual Arts,94
48,Workplace,240
82,Urban Fantasy,217
83,Villainess,29
43,Josei,160
15,Kids,6979
42,Seinen,1127
25,Shoujo,519
27,Shounen,2163
